alpha	precision	recall	pred.col
0.00271	0.121739130434783	0.823529411764706	K562_K562HiC.ABC.Score
0.002691	0.120689655172414	0.823529411764706	K562_K562HiC.ABC.Score
0.002687	0.11965811965812	0.823529411764706	K562_K562HiC.ABC.Score
0.00268	0.11864406779661	0.823529411764706	K562_K562HiC.ABC.Score
0.002671	0.117647058823529	0.823529411764706	K562_K562HiC.ABC.Score
0.002665	0.116666666666667	0.823529411764706	K562_K562HiC.ABC.Score
0.002643	0.115702479338843	0.823529411764706	K562_K562HiC.ABC.Score
0.002581	0.114754098360656	0.823529411764706	K562_K562HiC.ABC.Score
0.002555	0.113821138211382	0.823529411764706	K562_K562HiC.ABC.Score
0.00255	0.112903225806452	0.823529411764706	K562_K562HiC.ABC.Score
0.002492	0.112	0.823529411764706	K562_K562HiC.ABC.Score
0.002486	0.111111111111111	0.823529411764706	K562_K562HiC.ABC.Score
0.002452	0.110236220472441	0.823529411764706	K562_K562HiC.ABC.Score
0.002443	0.109375	0.823529411764706	K562_K562HiC.ABC.Score
0.002432	0.108527131782946	0.823529411764706	K562_K562HiC.ABC.Score
0.002363	0.107692307692308	0.823529411764706	K562_K562HiC.ABC.Score
0.002361	0.106870229007634	0.823529411764706	K562_K562HiC.ABC.Score
0.002333	0.106060606060606	0.823529411764706	K562_K562HiC.ABC.Score
0.002318	0.105263157894737	0.823529411764706	K562_K562HiC.ABC.Score
0.002317	0.104477611940299	0.823529411764706	K562_K562HiC.ABC.Score
0.002316	0.103703703703704	0.823529411764706	K562_K562HiC.ABC.Score
0.002288	0.102941176470588	0.823529411764706	K562_K562HiC.ABC.Score
0.00225	0.102189781021898	0.823529411764706	K562_K562HiC.ABC.Score
0.00224	0.101449275362319	0.823529411764706	K562_K562HiC.ABC.Score
0.002224	0.1	0.823529411764706	K562_K562HiC.ABC.Score
0.002204	0.099290780141844	0.823529411764706	K562_K562HiC.ABC.Score
0.002167	0.0985915492957746	0.823529411764706	K562_K562HiC.ABC.Score
0.00216	0.0979020979020979	0.823529411764706	K562_K562HiC.ABC.Score
0.002133	0.0972222222222222	0.823529411764706	K562_K562HiC.ABC.Score
0.0021	0.0958904109589041	0.823529411764706	K562_K562HiC.ABC.Score
0.002094	0.0952380952380952	0.823529411764706	K562_K562HiC.ABC.Score
0.00209	0.0945945945945946	0.823529411764706	K562_K562HiC.ABC.Score
0.002072	0.0939597315436242	0.823529411764706	K562_K562HiC.ABC.Score
0.002068	0.0933333333333333	0.823529411764706	K562_K562HiC.ABC.Score
0.002024	0.0927152317880795	0.823529411764706	K562_K562HiC.ABC.Score
0.002022	0.0921052631578947	0.823529411764706	K562_K562HiC.ABC.Score
0.001979	0.0909090909090909	0.823529411764706	K562_K562HiC.ABC.Score
0.001927	0.0903225806451613	0.823529411764706	K562_K562HiC.ABC.Score
0.00192	0.0897435897435897	0.823529411764706	K562_K562HiC.ABC.Score
0.001912	0.089171974522293	0.823529411764706	K562_K562HiC.ABC.Score
0.001911	0.0886075949367089	0.823529411764706	K562_K562HiC.ABC.Score
0.001874	0.0880503144654088	0.823529411764706	K562_K562HiC.ABC.Score
0.001862	0.0875	0.823529411764706	K562_K562HiC.ABC.Score
0.001837	0.0869565217391304	0.823529411764706	K562_K562HiC.ABC.Score
0.001822	0.0858895705521472	0.823529411764706	K562_K562HiC.ABC.Score
0.00182	0.0914634146341463	0.882352941176471	K562_K562HiC.ABC.Score
0.001802	0.0909090909090909	0.882352941176471	K562_K562HiC.ABC.Score
0.001788	0.0903614457831325	0.882352941176471	K562_K562HiC.ABC.Score
0.001783	0.0898203592814371	0.882352941176471	K562_K562HiC.ABC.Score
0.001769	0.0887573964497041	0.882352941176471	K562_K562HiC.ABC.Score
0.001754	0.087719298245614	0.882352941176471	K562_K562HiC.ABC.Score
0.001702	0.0872093023255814	0.882352941176471	K562_K562HiC.ABC.Score
0.001674	0.0867052023121387	0.882352941176471	K562_K562HiC.ABC.Score
0.001671	0.0862068965517241	0.882352941176471	K562_K562HiC.ABC.Score
0.001668	0.0857142857142857	0.882352941176471	K562_K562HiC.ABC.Score
0.001664	0.0852272727272727	0.882352941176471	K562_K562HiC.ABC.Score
0.001651	0.0847457627118644	0.882352941176471	K562_K562HiC.ABC.Score
0.00163	0.0842696629213483	0.882352941176471	K562_K562HiC.ABC.Score
0.001628	0.0837988826815642	0.882352941176471	K562_K562HiC.ABC.Score
0.001601	0.0833333333333333	0.882352941176471	K562_K562HiC.ABC.Score
0.001595	0.0828729281767956	0.882352941176471	K562_K562HiC.ABC.Score
0.001583	0.0824175824175824	0.882352941176471	K562_K562HiC.ABC.Score
0.001578	0.0819672131147541	0.882352941176471	K562_K562HiC.ABC.Score
0.001569	0.0815217391304348	0.882352941176471	K562_K562HiC.ABC.Score
0.001568	0.0810810810810811	0.882352941176471	K562_K562HiC.ABC.Score
0.001562	0.0802139037433155	0.882352941176471	K562_K562HiC.ABC.Score
0.001556	0.0797872340425532	0.882352941176471	K562_K562HiC.ABC.Score
0.00155	0.0793650793650794	0.882352941176471	K562_K562HiC.ABC.Score
0.001548	0.0789473684210526	0.882352941176471	K562_K562HiC.ABC.Score
0.001532	0.0785340314136126	0.882352941176471	K562_K562HiC.ABC.Score
0.001502	0.078125	0.882352941176471	K562_K562HiC.ABC.Score
0.001443	0.077720207253886	0.882352941176471	K562_K562HiC.ABC.Score
0.001414	0.077319587628866	0.882352941176471	K562_K562HiC.ABC.Score
0.001372	0.0769230769230769	0.882352941176471	K562_K562HiC.ABC.Score
0.001369	0.076530612244898	0.882352941176471	K562_K562HiC.ABC.Score
0.001352	0.0761421319796954	0.882352941176471	K562_K562HiC.ABC.Score
0.001341	0.0753768844221105	0.882352941176471	K562_K562HiC.ABC.Score
0.001313	0.075	0.882352941176471	K562_K562HiC.ABC.Score
0.00131	0.0746268656716418	0.882352941176471	K562_K562HiC.ABC.Score
0.001292	0.0742574257425743	0.882352941176471	K562_K562HiC.ABC.Score
0.00129	0.0738916256157636	0.882352941176471	K562_K562HiC.ABC.Score
0.001273	0.0735294117647059	0.882352941176471	K562_K562HiC.ABC.Score
0.001241	0.0731707317073171	0.882352941176471	K562_K562HiC.ABC.Score
0.00124	0.0728155339805825	0.882352941176471	K562_K562HiC.ABC.Score
0.001203	0.072463768115942	0.882352941176471	K562_K562HiC.ABC.Score
0.001194	0.0721153846153846	0.882352941176471	K562_K562HiC.ABC.Score
0.001191	0.0717703349282297	0.882352941176471	K562_K562HiC.ABC.Score
0.00119	0.0714285714285714	0.882352941176471	K562_K562HiC.ABC.Score
0.001163	0.0710900473933649	0.882352941176471	K562_K562HiC.ABC.Score
0.00115	0.0707547169811321	0.882352941176471	K562_K562HiC.ABC.Score
0.001138	0.0704225352112676	0.882352941176471	K562_K562HiC.ABC.Score
0.001135	0.0700934579439252	0.882352941176471	K562_K562HiC.ABC.Score
0.001131	0.0694444444444444	0.882352941176471	K562_K562HiC.ABC.Score
0.001123	0.0691244239631336	0.882352941176471	K562_K562HiC.ABC.Score
0.001122	0.0688073394495413	0.882352941176471	K562_K562HiC.ABC.Score
0.00112	0.0684931506849315	0.882352941176471	K562_K562HiC.ABC.Score
